Points_0,Points_1,Points_2,uh_0,uh_1,uh_2
0,6,0,1,0,0
0.00061886,5.42836,0,1,0,0
-1.19448,5.8799,0,1,0,0
-1.08007,5.31983,0,1,0,0
-2.13986,5.60544,0,1,0,0
-1.93542,5.07162,0,1,0,0
-2.89,5.25813,0,1,0,0
-2.61412,4.75747,0,1,0,0
-3.48938,4.88101,0,1,0,0
-3.15643,4.41634,0,1,0,0
-3.97228,4.49678,0,1,0,0
-3.59337,4.06877,0,1,0,0
-4.36452,4.11715,0,1,0,0
-3.94828,3.72535,0,1,0,0
-4.68545,3.74787,0,1,0,0
-4.23867,3.39129,0,1,0,0
-4.94962,3.39136,0,1,0,0
-4.4777,3.06876,0,1,0,0
-5.16802,3.0482,0,1,0,0
-4.67534,2.75833,0,1,0,0
-5.34906,2.71801,0,1,0,0
-4.83916,2.45961,0,1,0,0
-5.49916,2.39985,0,1,0,0
-4.97499,2.17178,0,1,0,0
-5.62329,2.09252,0,1,0,0
-5.08733,1.89374,0,1,0,0
-5.7253,1.79471,0,1,0,0
-5.17965,1.62431,0,1,0,0
-5.80816,1.50508,0,1,0,0
-5.25465,1.36228,0,1,0,0
-5.87418,1.22228,0,1,0,0
-5.31441,1.10644,0,1,0,0
-5.92511,0.945014,0,1,0,0
-5.36051,0.855591,0,1,0,0
-5.96225,0.672002,0,1,0,0
-5.39414,0.608594,0,1,0,0
-5.98652,0.402004,0,1,0,0
-5.41613,0.364321,0,1,0,0
-5.99851,0.133802,0,1,0,0
-5.427,0.121673,0,1,0,0
-5.99851,-0.133802,0,1,0,0
-5.42703,-0.120436,0,1,0,0
-5.98652,-0.402004,0,1,0,0
-5.41621,-0.363086,0,1,0,0
-5.96225,-0.672002,0,1,0,0
-5.39428,-0.607364,0,1,0,0
-5.92511,-0.945014,0,1,0,0
-5.36071,-0.854369,0,1,0,0
-5.87418,-1.22228,0,1,0,0
-5.31466,-1.10523,0,1,0,0
-5.80816,-1.50508,0,1,0,0
-5.25496,-1.36109,0,1,0,0
-5.7253,-1.79471,0,1,0,0
-5.18002,-1.62313,0,1,0,0
-5.62329,-2.09252,0,1,0,0
-5.08776,-1.89258,0,1,0,0
-5.49916,-2.39985,0,1,0,0
-4.97549,-2.17064,0,1,0,0
-5.34906,-2.71801,0,1,0,0
-4.83972,-2.45851,0,1,0,0
-5.16802,-3.0482,0,1,0,0
-4.67597,-2.75726,0,1,0,0
-4.94962,-3.39136,0,1,0,0
-4.4784,-3.06774,0,1,0,0
-4.68545,-3.74787,0,1,0,0
-4.23944,-3.39032,0,1,0,0
-4.36452,-4.11715,0,1,0,0
-3.94913,-3.72445,0,1,0,0
-3.97228,-4.49678,0,1,0,0
-3.59429,-4.06795,0,1,0,0
-3.48938,-4.88101,0,1,0,0
-3.15744,-4.41562,0,1,0,0
-2.89,-5.25813,0,1,0,0
-2.6152,-4.75687,0,1,0,0
-2.13986,-5.60544,0,1,0,0
-1.93657,-5.07118,0,1,0,0
-1.19448,-5.8799,0,1,0,0
-1.08129,-5.31958,0,1,0,0
0,-6,0,1,0,0
-0.00061886,-5.42836,0,1,0,0
0.00118146,4.9087,0,1,0,0
-0.976066,4.81068,0,1,0,0
-1.74955,4.58632,0,1,0,0
-2.36332,4.30233,0,1,0,0
-2.85375,3.99392,0,1,0,0
-3.2489,3.67967,0,1,0,0
-3.56987,3.36917,0,1,0,0
-3.83251,3.06712,0,1,0,0
-4.04869,2.7755,0,1,0,0
-4.22744,2.4948,0,1,0,0
-4.37562,2.2247,0,1,0,0
-4.49848,1.96444,0,1,0,0
-4.60009,1.71303,0,1,0,0
-4.6836,1.46941,0,1,0,0
-4.75145,1.23247,0,1,0,0
-4.80552,1.00112,0,1,0,0
-4.84724,0.774298,0,1,0,0
-4.87768,0.55095,0,1,0,0
-4.89759,0.330065,0,1,0,0
-4.90745,0.110647,0,1,0,0
-4.9075,-0.108285,0,1,0,0
-4.89775,-0.327707,0,1,0,0
-4.87794,-0.548602,0,1,0,0
-4.84762,-0.771965,0,1,0,0
-4.806,-0.998811,0,1,0,0
-4.75205,-1.23018,0,1,0,0
-4.68431,-1.46715,0,1,0,0
-4.60091,-1.71082,0,1,0,0
-4.49942,-1.96227,0,1,0,0
-4.37669,-2.22259,0,1,0,0
-4.22864,-2.49277,0,1,0,0
-4.05003,-2.77355,0,1,0,0
-3.83398,-3.06527,0,1,0,0
-3.5715,-3.36745,0,1,0,0
-3.25067,-3.6781,0,1,0,0
-2.85568,-3.99254,0,1,0,0
-2.36539,-4.30119,0,1,0,0
-1.75176,-4.58548,0,1,0,0
-0.978382,-4.8102,0,1,0,0
-0.00118146,-4.9087,0,1,0,0
0.00169291,4.43627,0,1,0,0
-0.881515,4.34781,0,1,0,0
-1.58059,4.14515,0,1,0,0
-2.13532,3.88856,0,1,0,0
-2.57859,3.6099,0,1,0,0
-2.93575,3.32594,0,1,0,0
-3.22587,3.04537,0,1,0,0
-3.46326,2.77242,0,1,0,0
-3.65868,2.50889,0,1,0,0
-3.82026,2.25523,0,1,0,0
-3.95421,2.01115,0,1,0,0
-4.06528,1.77595,0,1,0,0
-4.15715,1.54875,0,1,0,0
-4.23265,1.32859,0,1,0,0
-4.294,1.11446,0,1,0,0
-4.3429,0.905386,0,1,0,0
-4.38063,0.700395,0,1,0,0
-4.40817,0.498546,0,1,0,0
-4.42619,0.298922,0,1,0,0
-4.43513,0.100623,0,1,0,0
-4.43521,-0.097238,0,1,0,0
-4.42642,-0.295544,0,1,0,0
-4.40855,-0.495182,0,1,0,0
-4.38117,-0.697051,0,1,0,0
-4.34359,-0.902071,0,1,0,0
-4.29485,-1.11118,0,1,0,0
-4.23367,-1.32535,0,1,0,0
-4.15833,-1.54558,0,1,0,0
-4.06664,-1.77284,0,1,0,0
-3.95575,-2.00813,0,1,0,0
-3.82198,-2.25232,0,1,0,0
-3.6606,-2.5061,0,1,0,0
-3.46538,-2.76977,0,1,0,0
-3.22819,-3.0429,0,1,0,0
-2.93829,-3.3237,0,1,0,0
-2.58135,-3.60793,0,1,0,0
-2.13829,-3.88693,0,1,0,0
-1.58375,-4.14394,0,1,0,0
-0.884833,-4.34713,0,1,0,0
-0.00169291,-4.43627,0,1,0,0
0.00215787,4.00679,0,1,0,0
-0.795558,3.92702,0,1,0,0
-1.42698,3.74408,0,1,0,0
-1.92805,3.51241,0,1,0,0
-2.32845,3.26079,0,1,0,0
-2.65107,3.00437,0,1,0,0
-2.91314,2.751,0,1,0,0
-3.12759,2.50451,0,1,0,0
-3.30413,2.26652,0,1,0,0
-3.4501,2.03744,0,1,0,0
-3.57112,1.81701,0,1,0,0
-3.67147,1.60459,0,1,0,0
-3.75447,1.3994,0,1,0,0
-3.8227,1.20056,0,1,0,0
-3.87814,1.00718,0,1,0,0
-3.92233,0.81835,0,1,0,0
-3.95644,0.63321,0,1,0,0
-3.98134,0.450907,0,1,0,0
-3.99764,0.270611,0,1,0,0
-4.00575,0.0915103,0,1,0,0
-4.00584,-0.0871956,0,1,0,0
-3.99793,-0.266305,0,1,0,0
-3.98182,-0.446618,0,1,0,0
-3.95712,-0.628948,0,1,0,0
-3.92321,-0.814125,0,1,0,0
-3.87922,-1.003,0,1,0,0
-3.82399,-1.19645,0,1,0,0
-3.75598,-1.39536,0,1,0,0
-3.67319,-1.60064,0,1,0,0
-3.57307,-1.81316,0,1,0,0
-3.4523,-2.03373,0,1,0,0
-3.30657,-2.26296,0,1,0,0
-3.13029,-2.50114,0,1,0,0
-2.9161,-2.74786,0,1,0,0
-2.6543,-3.00151,0,1,0,0
-2.33196,-3.25828,0,1,0,0
-1.93183,-3.51033,0,1,0,0
-1.43101,-3.74254,0,1,0,0
-0.799788,-3.92616,0,1,0,0
-0.00215787,-4.00679,0,1,0,0
0.00258056,3.61636,0,1,0,0
-0.717416,3.54448,0,1,0,0
-1.28734,3.37947,0,1,0,0
-1.73962,3.17046,0,1,0,0
-2.10104,2.94341,0,1,0,0
-2.39226,2.71203,0,1,0,0
-2.62884,2.48339,0,1,0,0
-2.82243,2.26096,0,1,0,0
-2.98181,2.04619,0,1,0,0
-3.11359,1.83945,0,1,0,0
-3.22285,1.64052,0,1,0,0
-3.31345,1.44882,0,1,0,0
-3.3884,1.26363,0,1,0,0
-3.45001,1.08418,0,1,0,0
-3.50008,0.909647,0,1,0,0
-3.54,0.739227,0,1,0,0
-3.57081,0.572133,0,1,0,0
-3.59332,0.407598,0,1,0,0
-3.60806,0.244873,0,1,0,0
-3.6154,0.083226,0,1,0,0
-3.61552,-0.0780662,0,1,0,0
-3.6084,-0.239723,0,1,0,0
-3.59389,-0.402469,0,1,0,0
-3.57163,-0.567037,0,1,0,0
-3.54105,-0.734174,0,1,0,0
-3.50138,-0.904651,0,1,0,0
-3.45156,-1.07926,0,1,0,0
-3.3902,-1.2588,0,1,0,0
-3.31552,-1.44409,0,1,0,0
-3.22519,-1.63592,0,1,0,0
-3.11621,-1.83501,0,1,0,0
-2.98472,-2.04193,0,1,0,0
-2.82566,-2.25693,0,1,0,0
-2.63238,-2.47964,0,1,0,0
-2.39613,-2.70862,0,1,0,0
-2.10524,-2.94041,0,1,0,0
-1.74414,-3.16797,0,1,0,0
-1.29216,-3.37763,0,1,0,0
-0.722474,-3.54346,0,1,0,0
-0.00258056,-3.61636,0,1,0,0
0.00296483,3.26142,0,1,0,0
-0.646378,3.19672,0,1,0,0
-1.1604,3.04801,0,1,0,0
-1.56832,2.85959,0,1,0,0
-1.89431,2.65489,0,1,0,0
-2.15699,2.44627,0,1,0,0
-2.37039,2.24012,0,1,0,0
-2.54502,2.03954,0,1,0,0
-2.68879,1.84588,0,1,0,0
-2.80767,1.65946,0,1,0,0
-2.90624,1.48007,0,1,0,0
-2.98799,1.3072,0,1,0,0
-3.05561,1.14021,0,1,0,0
-3.11121,0.978379,0,1,0,0
-3.1564,0.820984,0,1,0,0
-3.19242,0.667297,0,1,0,0
-3.22024,0.516609,0,1,0,0
-3.24057,0.368226,0,1,0,0
-3.25389,0.221475,0,1,0,0
-3.26054,0.0756949,0,1,0,0
-3.26067,-0.0697667,0,1,0,0
-3.25429,-0.215559,0,1,0,0
-3.24123,-0.362334,0,1,0,0
-3.22118,-0.510753,0,1,0,0
-3.19363,-0.661492,0,1,0,0
-3.15788,-0.815244,0,1,0,0
-3.11298,-0.972721,0,1,0,0
-3.05768,-1.13465,0,1,0,0
-2.99036,-1.30177,0,1,0,0
-2.90893,-1.47478,0,1,0,0
-2.81069,-1.65436,0,1,0,0
-2.69214,-1.84099,0,1,0,0
-2.54872,-2.03491,0,1,0,0
-2.37446,-2.2358,0,1,0,0
-2.16143,-2.44235,0,1,0,0
-1.89913,-2.65144,0,1,0,0
-1.57351,-2.85673,0,1,0,0
-1.16593,-3.04589,0,1,0,0
-0.652189,-3.19554,0,1,0,0
-0.00296483,-3.26142,0,1,0,0
0.00331416,2.93874,0,1,0,0
-0.581798,2.88058,0,1,0,0
-1.04499,2.74668,0,1,0,0
-1.41259,2.57698,0,1,0,0
-1.70637,2.3926,0,1,0,0
-1.9431,2.20467,0,1,0,0
-2.13543,2.01895,0,1,0,0
-2.29282,1.83826,0,1,0,0
-2.4224,1.66379,0,1,0,0
-2.52957,1.49584,0,1,0,0
-2.61842,1.33421,0,1,0,0
-2.69211,1.17846,0,1,0,0
-2.75308,1.028,0,1,0,0
-2.80321,0.882195,0,1,0,0
-2.84395,0.740381,0,1,0,0
-2.87645,0.601907,0,1,0,0
-2.90154,0.466132,0,1,0,0
-2.91988,0.332434,0,1,0,0
-2.93192,0.200204,0,1,0,0
-2.93794,0.0688484,0,1,0,0
-2.93809,-0.0622217,0,1,0,0
-2.93236,-0.193591,0,1,0,0
-2.92063,-0.325847,0,1,0,0
-2.90259,-0.459586,0,1,0,0
-2.8778,-0.595417,0,1,0,0
-2.84562,-0.733964,0,1,0,0
-2.80519,-0.87587,0,1,0,0
-2.75539,-1.02179,0,1,0,0
-2.69476,-1.17239,0,1,0,0
-2.62142,-1.3283,0,1,0,0
-2.53293,-1.49013,0,1,0,0
-2.42615,-1.65832,0,1,0,0
-2.29696,-1.83308,0,1,0,0
-2.13998,-2.01413,0,1,0,0
-1.94807,-2.20029,0,1,0,0
-1.71176,-2.38875,0,1,0,0
-1.4184,-2.57379,0,1,0,0
-1.05118,-2.74431,0,1,0,0
-0.588294,-2.87926,0,1,0,0
-0.00331416,-2.93874,0,1,0,0
